ID,timestamp_ms,year,month,day,hour,min,sec,lat_E7,lon_E7,alt_cm,lat_err_cm,lon_err_cm,alt_err_cm,volt_avg,volt_std,amp_avg,amp_std,ldr_avg,ldr_std,pres_avg_hpa,pres_std,acx_avg,acx_std,acy_avg,acy_std,acz_avg,acz_std,gyx_avg,gyx_std,gyy_avg,gyy_std,gyz_avg,gyz_std,mgx_avg,mgx_std,mgy_avg,mgy_std,mgz_avg,mgz_std
FTLN,2783,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,517,1,909,40,1086,0,352,199,1606,428,4181,226,-306,387,-78,133,161,228,-181,9,39,8,782,8
FTLN,3784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,516,2,560,275,1086,0,969,391,2566,944,924,2872,1800,1324,-805,549,-189,235,-132,55,19,40,613,184
FTLN,4784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,514,3,382,13,1086,0,357,366,2038,798,-2963,672,620,655,-28,157,25,422,44,57,138,5,357,5
FTLN,5784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,514,1,273,85,1086,0,279,263,235,349,-3613,426,178,355,-11,213,-38,236,197,21,132,6,379,9
FTLN,6784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,1,121,7,1086,0,336,480,364,459,-3677,1104,3,472,30,373,-27,431,209,10,129,5,383,7
FTLN,7784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,109,3,1086,0,462,522,-848,1365,-3685,969,332,486,2,506,-3,172,244,26,117,14,413,19
FTLN,8784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,105,1,1086,0,66,314,-1781,198,-3227,276,19,373,46,232,-23,219,319,6,142,12,487,10
FTLN,9784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,105,2,1086,0,392,309,-1730,205,-3183,429,38,256,-15,102,-13,172,315,5,125,5,481,11
FTLN,10784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,108,3,1086,0,217,506,-1148,823,-3551,990,-177,489,34,146,-84,142,297,15,125,5,458,17
FTLN,11784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,119,1,1086,0,351,308,-649,395,-3441,295,-234,215,-8,208,31,229,267,8,109,11,426,8
FTLN,12784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,107,6,1086,0,-209,570,-1060,706,-3350,574,505,397,-238,248,179,298,265,31,146,28,433,41
FTLN,13784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,111,1,1086,0,-1381,196,-2040,86,-2731,226,115,151,5,153,81,167,309,4,249,18,534,12
FTLN,14784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,118,2,1086,0,-1430,156,-2155,188,-2708,320,-38,111,-41,109,-46,116,311,5,255,5,547,6
FTLN,15784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,125,2,1086,0,-1414,830,-1955,347,-2444,1626,1,133,115,326,-150,235,314,4,244,6,537,5
FTLN,16784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,113,3,1086,0,-578,269,-2037,207,-3054,425,33,202,-83,141,-19,178,323,5,189,10,514,8
FTLN,17784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,108,0,1086,0,-801,168,-2200,169,-2867,193,7,222,74,101,-49,182,326,5,196,8,527,5
FTLN,18784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,106,2,1086,0,342,417,-1530,1578,-3054,1254,-378,738,183,296,-169,361,305,23,118,38,469,36
FTLN,19784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,116,5,1086,0,629,610,-804,479,-3867,1095,-101,556,0,223,29,135,250,20,89,7,421,15
FTLN,20784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,119,8,1086,0,379,217,-229,327,-3578,223,-12,203,-5,125,-42,164,209,10,88,5,442,16
FTLN,21784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,110,8,1086,0,295,394,-81,421,-3680,327,-41,121,3,114,33,80,199,3,97,11,466,18
FTLN,22784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,220,68,1086,0,427,137,157,150,-3674,192,0,20,5,20,-12,5,199,3,99,7,451,4
FTLN,23784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,112,6,1086,0,475,336,164,261,-3588,307,9,119,40,118,-20,125,199,7,95,7,424,23
FTLN,24784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,101,7,1086,0,641,60,53,83,-3613,92,-24,155,27,69,13,89,201,4,81,7,403,8
FTLN,25784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,87,0,1086,0,634,55,34,20,-3597,55,7,13,4,9,-12,2,203,4,82,3,403,4
FTLN,26784,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,88,0,1086,0,617,70,15,115,-3558,171,8,55,0,30,-14,18,200,3,83,6,400,4
FTLN,27784,200,1,1,9,8,41,-500,-500,-500,3008,3008,3008,0,0,511,0,89,0,1086,0,627,31,44,22,-3598,28,7,3,5,6,-13,1,200,4,80,8,405,6
FTLN,28784,200,1,1,9,8,42,-500,-500,-500,3008,3008,3008,0,0,511,0,90,0,1086,0,630,27,35,15,-3609,47,6,4,3,2,-13,1,199,5,83,3,402,5
FTLN,29784,200,1,1,9,8,43,-500,-500,-500,3008,3008,3008,0,0,511,0,89,0,1086,0,634,14,43,22,-3603,41,7,2,4,2,-13,0,199,5,86,5,402,6
FTLN,30784,200,1,1,9,8,44,-500,-500,-500,3008,3008,3008,0,0,511,0,88,0,1086,0,624,15,47,19,-3599,18,7,1,4,1,-13,0,200,4,87,4,402,3
FTLN,31784,200,1,1,9,8,45,-500,-500,-500,3008,3008,3008,0,0,511,0,87,0,1086,0,630,21,40,16,-3614,43,7,1,3,1,-13,0,199,4,86,3,406,5
